CustomerID,Frequency,Monetary,Recency,Country,ProductType_Accessories,ProductType_Books,ProductType_Clothing,ProductType_Electronics,ProductType_Food,ProductType_Home Decor,ProductType_Office Supplies,ProductType_Others,ProductType_Pet Supplies,ProductType_Toys,Labels
12346.0,2.0,0.0,326.0,1,0,0,1,0,0,0,0,0,0,0,-1
12347.0,7.0,4310.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0
12348.0,4.0,1797.24,75.0,0,0,0,0,0,0,0,0,1,0,0,0
12349.0,1.0,1757.55,19.0,0,0,0,0,0,0,0,0,1,0,0,0
12350.0,1.0,334.39999999999986,310.0,0,0,0,0,0,0,0,0,1,0,0,0
12352.0,11.0,1545.41,35.99999999999999,0,0,0,0,0,0,0,0,1,0,0,0
12353.0,1.0,89.0,204.0,0,0,0,0,0,0,0,0,1,0,0,0
12354.0,1.0,1079.4,232.0,0,0,0,0,0,0,0,0,1,0,0,0
12355.0,1.0,459.39999999999986,214.0,0,0,0,0,0,0,0,0,1,0,0,0
12356.0,3.0,2811.43,23.0,0,0,0,0,0,0,1,0,0,0,0,-1
12357.0,1.0,6207.67,32.99999999999999,0,0,0,0,0,0,0,0,1,0,0,0
12358.0,2.0,1168.06,2.0,0,0,0,0,0,0,0,0,1,0,0,0
12359.0,6.0,6245.53,8.0,0,0,0,0,0,0,0,0,1,0,0,0
12360.0,3.0,2662.06,52.0,0,0,0,0,0,0,0,0,1,0,0,0
12361.0,1.0,189.9000000000001,287.0,0,0,0,0,0,0,0,0,1,0,0,0
12362.0,13.0,5154.58,3.0,0,0,0,0,0,0,0,0,1,0,0,0
12363.0,2.0,552.0,110.0,0,0,0,0,0,0,0,0,1,0,0,0
12364.0,4.0,1313.1,8.0,0,0,0,0,0,0,0,0,1,0,0,0
12365.0,3.0,320.69000000000005,291.0,0,0,0,0,0,0,0,0,1,0,0,0
12367.0,1.0,168.9000000000001,4.0,0,0,0,0,0,0,0,0,1,0,0,0
12370.0,4.0,3545.69,51.0,0,0,0,0,0,0,0,0,1,0,0,0
12371.0,2.0,1887.96,45.0,0,0,0,0,0,0,0,0,1,0,0,0
12372.0,3.0,1298.04,72.0,0,0,0,0,0,0,0,0,1,0,0,0
12373.0,1.0,364.5999999999999,311.0,0,1,0,0,0,0,0,0,0,0,0,-1
12374.0,1.0,742.9300000000001,25.0,0,0,0,0,0,0,0,0,1,0,0,0
12375.0,3.0,455.4200000000001,3.0,0,1,0,0,0,0,0,0,0,0,0,-1
12377.0,2.0,1628.12,315.0,0,0,0,0,0,0,0,0,1,0,0,0
12378.0,1.0,4008.62,130.0,0,0,0,0,0,0,0,0,1,0,0,0
12379.0,3.0,850.29,82.0,0,0,0,0,0,0,0,0,1,0,0,0
12380.0,5.0,2720.56,22.0,0,1,0,0,0,0,0,0,0,0,0,-1
12381.0,6.0,1803.96,5.0,0,0,0,0,0,0,0,0,1,0,0,0
12383.0,6.0,1839.31,185.0,0,0,0,0,0,0,0,0,1,0,0,0
12384.0,3.0,566.1600000000001,29.000000000000007,0,0,0,0,0,0,0,0,1,0,0,0
12386.0,2.0,401.89999999999986,338.0,0,0,0,0,0,0,0,0,1,0,0,0
12388.0,6.0,2780.66,16.0,0,0,0,0,0,0,0,0,1,0,0,0
12390.0,1.0,549.8399999999999,80.0,0,0,0,0,0,0,0,0,1,0,0,0
12391.0,1.0,460.8900000000001,22.0,0,0,0,0,0,0,0,0,1,0,0,0
12393.0,4.0,1582.6000000000001,72.0,0,1,0,0,0,0,0,0,0,0,0,-1
12394.0,2.0,1272.48,64.0,0,0,0,0,0,0,0,0,1,0,0,0
12395.0,15.0,2998.28,16.0,0,0,0,0,0,0,0,0,1,0,0,0
12397.0,2.0,2409.9,35.99999999999999,0,0,0,0,0,0,0,0,1,0,0,0
12398.0,1.0,1635.6599999999999,46.0,0,0,0,0,0,0,0,0,1,0,0,0
12399.0,4.0,1108.65,119.0,0,0,0,0,0,0,0,0,1,0,0,0
12401.0,1.0,84.29999999999995,303.0,0,0,0,0,0,0,0,0,1,0,0,0
12402.0,1.0,225.5999999999999,323.0,0,1,0,0,0,0,0,0,0,0,0,-1
12403.0,2.0,409.70000000000005,50.0,0,0,0,0,0,0,0,0,1,0,0,0
12405.0,1.0,1710.39,149.0,0,0,0,0,0,0,0,0,1,0,0,0
12406.0,3.0,3280.75,22.0,0,0,0,0,0,0,0,0,1,0,0,0
12407.0,5.0,1708.1200000000001,50.0,0,0,0,0,0,0,0,0,1,0,0,0
12408.0,9.0,2842.57,32.99999999999999,0,0,0,0,0,0,0,0,1,0,0,0
12409.0,7.0,11056.93,79.0,0,0,0,0,0,0,0,0,1,0,0,0
12410.0,3.0,681.0799999999999,301.0,0,0,0,0,0,0,0,0,1,0,0,0
12412.0,3.0,1226.88,75.0,0,0,0,0,0,0,0,0,1,0,0,0
12413.0,5.0,694.1499999999999,67.0,0,0,0,0,0,0,0,0,1,0,0,0
12414.0,3.0,562.4100000000001,217.0,0,0,0,0,0,0,0,0,1,0,0,0
12415.0,26.0,123725.45,24.0,0,0,0,0,0,0,0,0,1,0,0,-1
12417.0,12.0,3578.8,3.0,0,0,0,0,0,0,0,0,1,0,0,0
12418.0,1.0,668.5800000000002,113.0,0,0,0,0,0,0,0,0,1,0,0,0
12420.0,1.0,600.3900000000001,64.0,0,0,0,0,0,0,0,0,1,0,0,0
12421.0,5.0,806.27,16.0,0,0,0,0,0,0,0,0,1,0,0,0
12422.0,3.0,803.5600000000002,96.0,0,1,0,0,0,0,0,0,0,0,0,-1
12423.0,9.0,1849.11,1.0,0,0,0,0,0,0,0,0,1,0,0,0
12424.0,2.0,1760.96,163.0,0,0,0,0,0,0,0,0,1,0,0,0
12425.0,1.0,777.2,78.0,0,0,0,0,0,0,0,0,1,0,0,0
12426.0,1.0,582.73,195.0,0,0,0,0,0,0,0,0,1,0,0,0
12427.0,5.0,708.3700000000001,12.0,0,0,0,0,0,0,0,0,1,0,0,0
12428.0,12.0,7877.2,26.0,0,0,0,0,0,0,0,0,1,0,0,0
12429.0,4.0,3750.4,9.0,0,0,0,0,0,0,0,0,1,0,0,0
12430.0,1.0,256.39999999999986,43.0,0,0,0,0,0,0,0,0,1,0,0,0
12431.0,18.0,6416.39,35.99999999999999,0,0,0,0,0,0,0,0,1,0,0,0
12432.0,5.0,5059.32,43.0,0,0,0,0,0,0,0,0,1,0,0,0
12433.0,7.0,13375.87,1.0,0,0,0,0,0,0,0,0,1,0,0,0
12434.0,4.0,765.19,85.0,0,0,0,0,0,0,0,0,1,0,0,0
12435.0,2.0,7829.89,80.0,0,0,0,0,0,0,0,0,1,0,0,0
12436.0,1.0,509.01,100.0,0,0,0,0,0,0,0,0,1,0,0,0
12437.0,19.0,4896.66,2.0,0,0,0,0,0,0,0,0,1,0,0,0
12438.0,2.0,2906.85,14.0,0,0,0,0,0,0,0,0,1,0,0,0
12441.0,1.0,173.54999999999995,367.0,0,0,0,0,0,0,0,0,1,0,0,0
12442.0,1.0,172.05999999999995,3.0,0,0,0,0,0,0,0,0,1,0,0,0
12444.0,5.0,5005.46,21.0,0,0,0,0,0,0,0,0,1,0,0,0
12445.0,1.0,133.4000000000001,22.0,0,0,0,0,0,0,1,0,0,0,0,-1
12446.0,1.0,1002.3100000000001,58.0,0,0,0,0,0,0,0,0,1,0,0,0
12447.0,1.0,476.49,243.0,0,0,0,0,0,0,0,0,1,0,0,0
12448.0,1.0,449.45000000000005,44.0,0,0,0,0,0,0,0,0,1,0,0,0
12449.0,4.0,4067.29,22.0,0,0,0,0,0,0,0,0,1,0,0,0
12450.0,2.0,197.87999999999988,156.0,0,0,0,0,0,0,0,0,1,0,0,0
12451.0,6.0,8933.52,11.0,0,0,0,0,0,0,0,0,1,0,0,0
12452.0,3.0,428.56999999999994,17.0,0,0,0,0,0,0,0,0,1,0,0,0
12453.0,1.0,707.0899999999999,134.0,0,0,0,0,0,0,0,0,1,0,0,0
12454.0,2.0,0.0,53.0,0,0,0,0,0,0,0,0,1,0,0,0
12455.0,6.0,2466.86,73.0,0,0,0,0,0,0,0,0,1,0,0,0
12456.0,4.0,3153.89,44.0,0,0,0,0,0,0,0,0,1,0,0,0
12457.0,12.0,1917.78,58.0,0,0,0,0,0,0,0,0,1,0,0,0
12458.0,2.0,947.4,71.0,0,0,0,0,0,0,0,0,1,0,0,0
12461.0,2.0,826.8799999999999,94.0,0,0,0,0,0,0,0,0,1,0,0,0
12462.0,4.0,1124.01,2.0,0,0,0,0,0,0,0,0,1,0,0,0
